company_id,payment_note_date,payment_note_amount,financials_date,financials_date-1,financials_date-2,financials_date-3,financials_date-4,revenue,revenue-1,revenue-2,revenue-3,revenue-4,net_sales,net_sales-1,net_sales-2,net_sales-3,net_sales-4,profit_after_net_financial_items,profit_after_net_financial_items-1,profit_after_net_financial_items-2,profit_after_net_financial_items-3,profit_after_net_financial_items-4,profit,profit-1,profit-2,profit-3,profit-4,assets,assets-1,assets-2,assets-3,assets-4,lt_liabilities,lt_liabilities-1,lt_liabilities-2,lt_liabilities-3,lt_liabilities-4,equity,equity-1,equity-2,equity-3,equity-4,equity_ratio,equity_ratio-1,equity_ratio-2,equity_ratio-3,equity_ratio-4,profit_margin,profit_margin-1,profit_margin-2,profit_margin-3,profit_margin-4,cash_ratio,cash_ratio-1,cash_ratio-2,cash_ratio-3,cash_ratio-4,Rating
5318,,,Apr-18,Apr-17,Apr-16,Apr-15,Apr-14,20094,19470,21832,19773,15921,18011,17460,15623,16921,14600,23480,4044,1905,24931,2445,12348,2756,1319,18473,267,119595,97481,110185,76599,61313,26881,25847,32142,11007,16078,40210,30862,28106,26788,8315,59.4,57.2,47.8,66.9,48.4,118.4,22.5,11,129.4,21.7,248.1,83.7,138.8,155.8,42.3,AAA
5319,,,Dec-17,Dec-16,Dec-15,Dec-14,Dec-13,18217,20222,20544,17324,14556,17405,20122,20175,17176,14239,2174,519,1130,771,1251,1023,397,775,552,738,7053,9092,5924,6861,5228,1293,2795,948,1437,854,2154,1481,1834,1810,1557,46.3,21.3,38.6,31.5,35.7,12.3,2.9,5.8,4.9,9.2,188.6,84.8,128,123.7,140,AAA
5320,,,Dec-17,Dec-16,Dec-15,Dec-14,Dec-13,5541,12039,13651,11081,8450,5411,11883,13631,10922,8442,87,-811,564,465,9,87,-778,1,10,-8,4823,5796,7183,7212,6183,2060,2010,1830,1830,1830,2587,2500,3278,3277,3267,53.6,43.1,46,45.8,52.8,2.5,-6.3,4.5,4.9,1.5,407.4,101.1,130.3,133.5,174.2,AA
5321,,0,Dec-17,Dec-16,Dec-15,Dec-14,Dec-13,5806,5952,7063,5694,4608,5797,5832,6729,5556,4462,254,52,172,78,55,195,37,132,60,39,2361,970,1304,1486,1040,1113,0,0,109,0,705,510,472,342,282,29.9,52.6,36.2,23,27.1,4.7,0.9,2.4,1.4,1.2,122.2,177.6,142.8,130.6,122.7,AA
5322,,,Dec-17,Dec-16,Dec-15,Dec-14,Dec-13,13040,11580,14454,8693,6548,12901,11580,14230,8693,6533,1071,571,1365,491,24,603,493,864,396,114,2951,2343,3579,2861,2609,0,0,0,0,0,730,1016,1703,1589,1492,55.1,72.4,68.1,74.4,78.7,8.6,4.9,9.4,5.6,0.4,235.4,260.9,253.2,337.8,442.6,AAA
5323,,,Dec-17,Dec-16,,,,7216,4866,,,,7216,4866,,,,842,701,,,,487,482,,,,3346,1799,,,,0,0,,,,569,532,,,,24.9,35.2,,,,11.7,14.4,,,,137.3,158.2,,,,AA
5324,,,Dec-17,Dec-16,Dec-15,Dec-14,Dec-13,4974,2694,3687,4906,6011,4974,2694,3687,4906,6011,435,-200,178,-11,0,381,-200,147,-11,0,2463,519,797,928,1406,0,0,67,455,2,506,125,265,119,130,20.5,24.1,33.2,13.6,9.7,8.9,-7.1,4.9,-0.1,0,89.3,31.5,112.9,176.6,92.2,AA
5325,,,Apr-18,Apr-17,Apr-16,Apr-15,Apr-14,18602,18980,18443,19420,16830,18410,18450,18443,19410,16818,1656,1181,933,1896,147,1641,1043,1140,1166,163,7707,7054,7747,7166,6337,0,0,0,0,0,4221,2580,2036,1698,1131,60.4,49.2,41,45,37.5,9,6.5,5.2,9.9,1,245.7,137.5,146.7,170.8,145.2,AAA
5326,,0,Sep-17,Sep-16,Sep-15,Sep-14,,11627,14128,3689,607,,11620,14117,3689,607,,453,3555,1467,133,,844,2051,1139,104,,5425,5437,2329,397,,918,0,0,0,,2938,2894,1293,154,,58.2,66.4,55.5,38.8,,4.1,25.2,39.8,21.9,,241.5,321.6,220.9,154.5,,AA
5327,,,Dec-17,Dec-16,Dec-15,Dec-14,,6603,7056,2468,527,,6603,7037,2404,527,,-627,1947,197,156,,10,1055,106,89,,3425,3534,523,256,,0,0,0,0,,1309,1299,245,139,,38.9,52,62.1,67.1,,-9.3,27.8,8,29.6,,118.2,180,229.4,318.7,,A
5328,,0,Mar-18,Mar-17,Mar-16,Mar-15,Mar-14,6985,11555,10205,5689,11694,6985,11554,10201,5689,11694,-301,1230,1297,1114,11,43,696,742,647,5,3249,4692,5034,4195,3351,0,0,0,0,0,2184,2141,1445,702,55,80.5,61.1,38.2,21.9,1.6,-4.1,10.7,12.9,19.6,0.1,615.3,281.6,168.6,129.8,100.9,A
5329,,,Apr-18,Apr-17,Apr-16,Apr-15,Apr-14,15356,16743,17281,17001,16074,15356,16693,16457,16943,15981,1501,1782,761,84,709,868,1101,232,-587,402,6403,7056,4297,6960,5725,0,331,595,2252,2909,2672,1804,703,471,1059,57,35.2,25.7,13,23.6,9.9,10.9,5.2,7.5,5.6,198,137.3,112.5,116.7,148.3,AA
5330,,,Dec-17,Dec-16,Dec-15,Dec-14,Dec-13,42012,44001,28171,32395,23918,42012,43989,28169,32368,21884,2548,3096,2251,2910,252,1607,2237,2225,1711,504,16700,20225,8544,9876,5802,2978,1288,0,0,79,4250,4643,4278,3054,1493,25.4,23,50.1,36.7,25.7,6.3,7.2,8,9.1,1.1,116.2,112,196.5,155.5,70.7,AAA
5331,,,Jun-18,Jun-17,Jun-16,Jun-15,Jun-14,15793,17150,15364,15382,16516,15793,16931,15144,15803,16482,876,281,-33,264,-233,630,230,20,32,1,15933,10524,10453,9043,8443,0,2968,3659,2398,2250,2107,1476,1247,1227,1195,18.7,21.5,19.4,23.1,22.4,6.3,2.5,0.5,2.6,-0.5,78.9,70.3,70.7,76.9,80.1,A
5332,,0,Dec-17,Dec-16,Dec-15,Dec-14,Dec-13,22763,20227,18029,13762,661,22585,20165,18029,13762,661,2004,2498,1110,401,2,1150,1445,634,236,2,9373,6502,4444,3280,456,0,0,0,0,147,3594,2443,999,364,128,51.2,50,29.5,13.8,30.6,8.8,12.4,6.2,3.1,0.5,149.2,143.8,125.6,108.3,205.4,AA
